input file used in this experiment: godfather/gdad.txt
MAX characters between words allowed: 200

,,Distance Between words,Actual Text 
680405,680397,6,he word '
680412,680461,48,' because your singing gave me so much pleasure  he
681498,681514,15,'dancing steps  he
682137,682119,16,he results of his '
682258,682266,7,'while the
701658,701654,2,hen '
701658,701670,11,'as a child he
711544,711622,77,'had always been wary of him  treating him as a fellow  man of respect   but the
749797,749773,22,he villa on some errand '
749797,749814,16,' outside  what the
751368,751316,50,he came to consciousness in a room that seemed very '
751368,751378,9,'dark and he
794109,794191,81,' well  i can tell you that nino may very well die tomorrow   jules went over to the
794877,794872,3,hem  '
794971,794941,28,heir faces all rosy  and say  '
795001,795020,18,' and sure enough the
795043,795032,9,he rabbit  '
795208,795211,2,' the
796410,796347,61,he dies anyway  meanwhile husbands keep calling up and asking  '
796410,796420,9,'what do the
796458,796444,12,he tests show '
796458,796523,64,'  so i hired an extra secretary to take all those calls  i saw the
796757,796718,37,he husband talk to me for two minutes  '
797043,797014,27,heard it  one guy even said  '
797043,797050,6,'what the
797085,797141,55,'   jules started  to laugh   germinal  terminal  what the
861350,861321,27,he big desk   you cannot say '
861454,861419,33,hen you do  it has to sound like a '
861459,861482,22,' or you have to make the
861490,861482,6,hem say '
862535,862513,20,he gate  running away '
876009,875912,95,he barzinis and tattaglias are going to move in on us real hard  mike  you gotta fight or have a '
876316,876298,16,hey opened up two '
905334,905315,17,he world shouting  '
905352,905359,6,' and the
908109,908078,29,her look old and unattractive  '
908109,908128,18,' carlo shrugged   he
938350,938347,1,he '

Location of ',Location of she,,
45485,45473,9,she found a '
45497,45515,17,' not an italian  she
46051,46024,24,she wept through her pain  '
321138,321124,11,she said yes  '
389424,389418,3,she   '
489405,489347,55,she is a - here his face became one of scholarly doubt- a '
491471,491381,87,she could face him  what he had done was more shameful than her own sin  book iv 233 m& & '
491471,491473,1,' she
496363,496312,48,she kissed her on the cheek very quickly and said  '
655908,656085,176,'the interior of mexico  the real wild country  he told her  where strangers were murdered for their shoes and life was as primitive as a thousand years ago  quite accidentally she
665936,665819,114,she told me  that those gunslingers  those manly  virile  straight-shooting cowboys would always ask the girls for a '
701658,701755,96,'as a child he had gone out early on a summer day to play ball  then each day had been freshly washe
711544,711662,117,'had always been wary of him  treating him as a fellow  man of respect   but these unsophisticated 334 the godfather  she
796410,796346,61,she dies anyway  meanwhile husbands keep calling up and asking  '
796458,796544,85,'  so i hired an extra secretary to take all those calls  i saw the patient only when she
797085,797229,143,'   jules started  to laugh   germinal  terminal  what the hell  i started  to do abortions  nice and easy  everybody happy  like washing the dishe
908109,908044,62,she asked  her worried frown made her look old and unattractive  '
938350,938308,39,she asked   i expected to see some of the '

Location of ',Location of they,,
46051,45994,53,they had to wire it together  she wept through her pain  '
46051,46076,24,'father  father  why did they
46115,46096,15,they do this to me '
191186,191172,10,they can turn '
191186,191243,56,'him loose or dump him  depending how sollozzo feels  if they
315332,315265,63,they had gone weak with trembling  sollozzo was leaning toward him '
430723,430663,56,they had heard nothing  he could take his time  he traveled '
435157,435098,55,they never spoke about it to anyone the whole neighborhood '
496363,496477,113,'  you forget about mikey  he no the man for you anymore   there was a car waiting for her with two men up front  they
595409,595351,54,they had the look of no-nonsense busy men without vanity  '
611229,611265,35,' who can resist such a profit  and they
638461,638373,84,they were proud of him now  but the conclusion was certain  after the 300 the godfather '
663275,663237,34,they come to me right away  i curette '
751368,751413,44,'dark and heard voices that were so low that they
794971,794927,40,they pop in  their faces all rosy  and say  '
795001,795019,17,' and sure enough they
795208,795210,1,' they
797043,797003,36,they never heard it  one guy even said  '
876316,876297,15,they opened up two '
905334,905146,184,they do not know  i have seen a man  a fool  deliberately infuriate a group of dangerous men  and he himself without any resources  these are people who wander through the world shouting  '

Location of ',Location of fredo,,

Location of ',Location of michael,,
34269,34273,3,'   michael
191186,191337,150,'him loose or dump him  depending how sollozzo feels  if they dump him  it would be just to show us they really mean business  trying to bulldoze us   michael
252491,252493,1,' michael
271166,271168,1,' michael
303083,303186,102,'hagen said   mccluskey is a stupid man and it was business  not personal   for the second time he saw michael
312502,312521,18,'  sollozzo asked  michael
701658,701625,26,michael felt as he had felt when '
711544,711709,164,'had always been wary of him  treating him as a fellow  man of respect   but these unsophisticated 334 the godfather  sheep herders had come to their own opinion of michael
749797,749701,89,michael was annoyed to see fabrizzio disappearing through the gates of the villa on some errand '
876316,876188,121,michael said   let them break the peace first   tessio spoke up in his soft voice   they already have  mike  they opened up two '
